PERNO HEXAGONAL MÉTRICO RC - CL. 5.8 TROPICALIZADO,,,,,,
,,M2205,M2206,M2208,M2210,E2212
CÓD.,LARGO,Ø M5,Ø M6,Ø M8,Ø M10,Ø M12
02,10,$1.89,$2.27,,,
,,100 CTO,60 CTO,,,
03,15,$2.45,$2.68,$5.48,,
,,77 CTO,50 CTO,25 CTO,,
04,20,$2.66,$3.04,$5.99,,
,,68 CTO,43 CTO,21 CTO,,
05,25,$3.25,$3.52,$7.17,,
,,55.5 CTO,37.5 CTO,18.5 CTO,,
06,30,$3.88,$3.94,$8.00,$12.72,$68.05
,,50 CTO,33.5 CTO,17 CTO,9.5 CTO,1.9 CTO
07,35,$4.27,$4.35,$8.41,$14.40,
,,43 CTO,29 CTO,15 CTO,8.8 CTO,
08,40,$4.83,$4.87,$9.19,$16.05,$77.36
,,39 CTO,27 CTO,13.5 CTO,8 CTO,1.7 CTO
10,50,$5.62,$5.62,$10.79,$17.65,$89.60
,,30 CTO,20 CTO,11 CTO,6 CTO,1.42 CTO
12,60,,$6.56,$12.24,$20.07,$103.82
,,,16 CTO,10 CTO,6 CTO,1.2 CTO
14,70,,,$14.36,,$118.60
,,,,7 CTO,,1.05 CTO
16,80,,,$16.31,,$133.80
,,,,7 CTO,,0.9 CTO
20,100,,,$19.23,,$156.23
,,,,6.5 CTO,,0.8 CTO
PRECIO DE VENTA POR CIENTO (INCLUYE IGV),,,,,,
